"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2025","259.06","258.75","260.12","257.10","9.67M","0.14%"
"05/29/2025","258.69","260.75","261.13","256.77","2.30M","-0.60%"
"05/28/2025","260.24","263.16","265.00","259.94","2.32M","-1.14%"
"05/27/2025","263.23","261.00","263.79","259.63","3.28M","1.78%"
"05/23/2025","258.63","258.58","259.87","255.79","2.72M","0.10%"
"05/22/2025","258.37","260.77","261.27","257.91","3.09M","-0.96%"
"05/21/2025","260.87","264.97","265.65","260.41","3.75M","-2.28%"
"05/20/2025","266.95","267.40","269.28","265.62","2.44M","-0.54%"
"05/19/2025","268.41","265.45","269.14","265.08","3.20M","0.62%"
"05/16/2025","266.76","266.35","267.98","264.59","3.82M","0.03%"
"05/15/2025","266.68","259.01","267.43","258.61","4.86M","3.44%"
"05/14/2025","257.82","257.60","260.55","256.22","3.64M","-0.30%"
"05/13/2025","258.59","254.43","259.58","252.88","3.52M","1.93%"
"05/12/2025","253.69","252.50","253.81","244.65","4.61M","1.80%"
"05/09/2025","249.20","252.51","253.00","247.64","2.90M","-1.94%"
"05/08/2025","254.14","255.00","256.52","253.25","3.64M","0.30%"
"05/07/2025","253.37","249.45","254.47","248.83","3.40M","1.71%"
"05/06/2025","249.12","247.76","250.19","246.11","2.90M","-0.02%"
"05/05/2025","249.18","243.74","249.80","243.64","4.14M","1.48%"
"05/02/2025","245.55","243.13","245.69","241.33","3.73M","2.46%"
"05/01/2025","239.66","241.44","242.37","237.95","4.24M","-0.89%"
"04/30/2025","241.82","236.73","242.47","234.34","5.14M","1.02%"
"04/29/2025","239.39","237.00","239.98","236.14","3.43M","1.37%"
"04/28/2025","236.16","232.86","236.63","232.07","3.65M","1.61%"
"04/25/2025","232.41","228.95","233.36","226.32","6.70M","1.34%"
"04/24/2025","229.33","231.18","232.78","224.44","15.43M","-6.58%"
"04/23/2025","245.48","246.00","249.34","243.66","7.95M","1.90%"
"04/22/2025","240.90","238.50","242.64","238.02","4.23M","1.98%"
"04/21/2025","236.22","238.07","240.80","232.93","4.91M","-1.08%"
"04/17/2025","238.81","239.68","241.77","237.40","4.64M","0.10%"
"04/16/2025","238.57","240.28","243.30","235.89","4.87M","-0.88%"
"04/15/2025","240.70","239.55","241.53","238.27","3.36M","0.69%"
"04/14/2025","239.06","239.77","241.77","236.73","3.32M","1.52%"
"04/11/2025","235.48","229.72","237.58","227.51","4.33M","2.58%"
"04/10/2025","229.55","231.00","232.57","222.02","5.66M","-2.45%"
"04/09/2025","235.31","217.12","236.30","215.16","7.30M","6.46%"
"04/08/2025","221.03","232.56","233.05","217.28","6.85M","-2.10%"
"04/07/2025","225.78","219.24","232.29","214.50","7.80M","-0.75%"
"04/04/2025","227.48","238.00","240.16","226.88","7.41M","-6.58%"
"04/03/2025","243.49","242.71","250.61","242.53","5.31M","-2.60%"
"04/02/2025","249.98","248.22","252.79","247.23","4.08M","-0.14%"
"04/01/2025","250.34","248.03","250.62","243.49","4.41M","0.68%"
"03/31/2025","248.66","242.74","250.89","242.49","6.79M","1.91%"
"03/28/2025","244.00","246.27","247.57","242.07","3.13M","-0.90%"
"03/27/2025","246.21","249.71","250.30","245.73","2.89M","-1.65%"
"03/26/2025","250.34","251.25","254.32","249.53","4.45M","0.18%"
"03/25/2025","249.90","248.36","250.90","248.20","3.13M","0.58%"
"03/24/2025","248.45","247.31","248.82","245.96","4.75M","1.88%"
"03/21/2025","243.87","241.69","245.21","238.50","9.58M","0.23%"
"03/20/2025","243.32","244.24","246.80","237.22","7.03M","-3.56%"
"03/19/2025","252.29","248.33","253.66","246.64","3.85M","2.16%"
"03/18/2025","246.95","252.51","252.57","245.12","4.17M","-2.38%"
"03/17/2025","252.97","249.25","254.63","249.00","3.23M","1.86%"
"03/14/2025","248.35","242.74","248.95","241.68","4.05M","1.04%"
"03/13/2025","245.80","248.80","249.27","243.04","3.86M","-1.53%"
"03/12/2025","249.63","250.35","253.13","245.53","3.85M","0.27%"
"03/11/2025","248.95","255.99","256.70","245.86","5.63M","-3.09%"
"03/10/2025","256.90","261.56","266.45","254.75","8.17M","-1.77%"
"03/07/2025","261.54","245.95","261.96","245.18","6.70M","5.17%"
"03/06/2025","248.69","249.75","252.10","246.80","3.25M","-1.06%"
"03/05/2025","251.35","251.58","252.74","247.01","4.01M","-0.73%"
"03/04/2025","253.21","248.75","255.48","248.10","5.34M","1.21%"
"03/03/2025","250.19","254.74","255.99","248.24","2.98M","-0.89%"
"02/28/2025","252.44","250.85","252.81","246.54","7.99M","-0.31%"
"02/27/2025","253.23","255.22","257.63","253.05","3.40M","-1.02%"
"02/26/2025","255.84","258.10","258.33","254.41","3.46M","-0.74%"
"02/25/2025","257.75","261.08","263.48","256.77","6.29M","-1.57%"
"02/24/2025","261.87","261.50","263.85","259.58","4.40M","0.15%"
"02/21/2025","261.48","263.85","264.83","261.10","5.67M","-1.23%"
"02/20/2025","264.74","263.65","265.09","262.15","4.88M","0.16%"
"02/19/2025","264.32","262.00","264.36","260.09","3.72M","0.48%"
"02/18/2025","263.07","261.93","263.96","259.83","4.26M","0.69%"
"02/14/2025","261.28","259.00","261.94","257.91","3.93M","0.81%"
"02/13/2025","259.19","255.66","259.28","254.41","4.53M","1.32%"
"02/12/2025","255.81","252.72","256.40","252.02","3.08M","0.44%"
"02/11/2025","254.70","251.10","256.75","250.58","4.80M","2.18%"
